,title,lyrics
72,Ain't Got Rhythm,. . you keep saying that you don't have rhythm. but listen what you're doing right there. with that stamp and a book. you got a real nice hook. sounds to me like you've got rhythm to spare. . . i have no idea what you're talking about. i've got as much rhythm as that chair. what happened to me was a tragedy. but i don't have to be a millionaire. look i got a sweet deal going on here. i got all the books that i can read. all these sweet old ladies. and this carpet from the 80's. what more could a librarian need. . . ssh. . . besides i ain't got rhythm. no i ain't got rhythm. said i ain't got rhythm. i ain't got rhythm. . . you're kidding me right yyou're kidding me. don't you see what you were doing right then. that's a wicked groove you were starting to move. mister you got rhythm times ten. . . i think perhaps that you're not listening. i find it tedious to repeat. it's no big crime. i just can't keep time. i'm telling you i lost the beat. i don't need my face on tshirt. or hit a powerchord . they were screaming my name. i guess it's a shame. but i don't need to be a rock star. . . besides i ain't got rhythm. no i ain't got rhythm. said i ain't got rhythm. i ain't got rhythm. i ain't got rhythm sounds like rhythm to me. no i ain't got rhythm seems like they all agree. said i ain't got rhythm but you're laying down. i ain't got rhythm some funky syncopation. i ain't got rhythm but you got that beat. no i ain't got rhythm look at them they're stomping their feet. said i ain't got rhythm it's time for you to rock. a brand new generation. brand new generation. gonna rock a brand new generation. because i ain't got rhythm. . . sigh. would you just go join the band. . . . ain't got rhythm. hey hey. ain't got rhythm. hey look at.... ain't got rhythm. look at that trick. ain't got rhythm. check it out look at me. hey i got rhythm
73,Queen of Mars,i was just a lonely girl. looking for a little fun. though without a friend in the world. i was forced to find a new one. . . now i'm the queen of mars. i was invisible on earth. it only took a magic portal to mars. to give me some self worth. . . you put a crown on my head. and you all seem to worship me. but you don't understand a word i said. still you treat me like royalty. . . 'cause i'm the queen of mars. i was invisible on earth. it only took a magic portal to mars. to give me some self worth. 'cause i'm the queen of mars. i was invisible on earth. it only took a magic portal to mars. to give me some self worth ohh
74,Little Brothers,little brother. i remember when you first came home. then came another. little brother of our own. . . even when you break my toys. you will always be my little brothers. 'cause you're younger. we're related. and you're boys. even when you're making too much noise. you will always be my little brothers. 'cause you're younger. we're related. and you're boys. . . little brothers. little brothers. little brothers
75,The World Was Wide Enough,one two three four. . . five six seven eight nine. . . there are ten things you need to know. . . number one. . . we rowed across the hudson at dawn. my friend william p. van ness signed on as my. . . number two. . . hamilton arrived with his crew. nathaniel pendleton and a doctor that he knew. . . number three. . . i watched hamilton examine the terrain. i wish i could tell you what was happning in his brain. this man has poisoned my political pursuits. . . most disputes die and no one shoots. number four. . . hamilton drew first position. looking to the world like a man on a mission. this is a soldier with a marksmans ability. the doctor turned around so he could have deniability. . . five. . . now i didnt know this at the time. but we were. . . near the same spot near the same spot. your son died is that my son died is that. whywhy. . . six. . . he examined his gun with such rigor. i watched as he methodically fiddled with the trigger. . . seven. . . confession time heres what i got. my fellow soldiersll tell you im a terrible shot. . . number eight. . . your last chance to negotiate. send in your seconds see if they can set the record straight. . . they wont teach you this in your classes. but look it up hamilton was wearing his glasses. why if not to take deadly aim. its him or me the world will never be the same. i had only one thought before the slaughter. this man will not make an orphan of my daughter. . . number nine. . . look him in the eye aim no higher. summon all the courage you require. then count. . . one two three four five six seven eight nine. number ten paces fire. . i imagine death so much it feels more like a memory. is this where it gets me on my feet sevral feet ahead of me. i see it coming do i run or fire my gun or let it be. there is no beat no melody. burr my first friend my enemy. maybe the last face i ever see. if i throw away my shot is this how youll remember me. what if this bullet is my legacy. . legacy. what is a legacy. its planting seeds in a garden you never get to see. i wrote some notes at the beginning of a song someone will sing for me. america you great unfinished symphony you sent for me. you let me make a difference. a place where even orphan immigrants. can leave their fingerprints and rise up. im running out of time. im running and my times up. wise up. eyes up. i catch a glimpse of the other side. laurens leads a soldiers  on the other side. my son is on the other side. hes with my mother on the other side. washington is watching from the other side. teach me how to say goodbye. rise up rise up rise up. eliza. . my love take your time. ill see you on the other side. raise a glass to freedom.... . . he aims his pistol at the sky. . . wait. . i strike him right between his ribs. i walk towards him but i am ushered away. they row him back across the hudson. i get a drink. . . aaaah. aaaah. aaaah. . . i hear wailing in the streets. . . aaaah. aaaah. aaaah. . . somebody tells me youd better hide.. . . aaaah. aaaah. aaaah. . . they say. . . angelica and eliza. . were both at his side when he died. death doesnt discriminate. between the sinners and the saints. it takes and it takes and it takes. history obliterates. in every picture it paints. it paints me and all my mistakes. when alexander aimed. at the sky. he may have been the first one to die. but im the one who paid for it. . i survived but i paid for it. now im the villain in your history. i was too young and blind to see.... i shouldve known. i shouldve known. the world was wide enough for both hamilton and me. the world was wide enough for both hamilton and me
76,"Who Lives, Who Dies, Who Tells Your Story",let me tell you what i wish id known. when i was young and dreamed of glory. you have no control. . . who lives. who dies. who tells your story. . president jefferson. . . ill give him this his financial system is a. work of genius. i couldnt undo it if i tried. and i tried. . . who lives. who dies. who tells your story. . president madison. . . he took our country from bankruptcy to prosperity. i hate to admit it but he doesnt get enough credit. for all the credit he gave us. . who lives. who dies. who tells your story. . . every other founding father's story gets told. every other founding father gets to grow old. . . but when youre gone who remembers your name. who keeps your flame. . . who tells your story. who tells your story. . . who tells your story. your story. . . eliza. . i put myself back in the narrative. . . eliza. . . i stop wasting time on tears. i live another fifty years. its not enough. . . eliza. . . i interview every soldier who fought by your side. . . she tells our story. . . i try to make sense of your thousands of pages of writings. you really do write like youre running out of. . . time. . i rely on. . . angelica. . while shes alive. . we tell your story. . . she is buried in trinity church. . . near you. . . when i needed her most she was right on. . . time. . . and im still not through. i ask myself what would you do if you had more. . . time. . . the lord in his kindness. he gives me what you always wanted. he gives me more. . . time. . . i raise funds in d.c. for the washington monument. . she tells my story. . . i speak out against slavery. you could have done so much more if you only had. . . time. . . and when my time is up have i done enough. . . will they tell our story. . . will they tell your story. . . oh. can i show you what im proudest of. . . the orphanage. . . i established the first private orphanage in new york city. . . the orphanage. . . i help to raise hundreds of children. i get to see them growing up. . . the orphanage. . . in their eyes i see you alexander. i see you every. . . time. . . and when my time is up. have i done enough. will they tell my story. . . will they tell your story. . . oh i cant wait to see you again. its only a matter of. . . time. . . will they tell your story. who lives who dies who tells your story. will they tell your story. who lives who dies. . . time. time. time.... . who tells your story
77,My Shot,i am not throwing away my shot. i am not throwing away my shot. hey yo i'm just like my country. i'm young scrappy and hungry. and i'm not throwing away my shot. i'ma get a scholarship to king's college. i prob'ly shouldn't brag but dag i amaze and astonish. the problem is i got a lot of brains but no polish. i gotta holler just to be heard. with every word i drop knowledge. i'm a diamond in the rough a shiny piece of coal. tryin' to reach my goal my power of speech unimpeachable. only nineteen but my mind is older. these new york city streets get colder i shoulder. ev'ry burden ev'ry disadvantage. i have learned to manage i don't have a gun to brandish. i walk these streets famished. the plan is to fan this spark into a flame. but damn it's getting dark so let me spell out the name. i am the. . . alexand. erwe aremeant to be. . . a colony that runs independently. meanwhile britain keeps shittin' on us endlessly. essentially they tax us relentlessly. then king george turns around runs a spending spree. he ain't ever gonna set his descendants free. so there will be a revolution in this century. enter me. . . he says in parentheses. . . don't be shocked when your hist'ry book mentions me. i will lay down my life if it sets us free. eventually you'll see my ascendancy. . . and i am not throwing away. my shot my shot. i am not throwing away. my shot my shot. hey yo i'm just like my country. i'm young scrappy and hungry. and i'm not throwing away my shot. and i'm not throwing away my shot. . . i am not throwing away my shot. i am not throwing away my shot. hey yo i'm just like my country. i'm young scrappy and hungry. and i'm not throwing away my shot. it's time to take a shot. . . i dream of life without a monarchy. the unrest in france will lead to 'onarchy. 'onarchy how you say how you soh 'anarchy'. when i fight i make the other side panicky. with my. . . shot. . yo i'm a tailor's apprentice. and i got y'all knuckleheads in loco parentis. i'm joining the rebellion 'cause i know it's my chance. to socially advance instead of sewin' some pants. i'm gonna take a. . . shot. . . but we'll never be truly free. until those in bondage have the same rights as you and me. you and i do or die wait 'til i sally in. on a stallion with the first black battalion. have another. . . shot. . geniuses lower your voices. you keep out of trouble and you double your choices. i'm with you but the situation is fraught. you've got to be carefully taught. if you talk you're gonna get shot. . . burr check what we got. mister lafayette hard rock like lancelot. i think your pants look hot. laurens i like you a lot. let's hatch a plot blacker than the kettle callin' the pot. what are the odds the gods would put us all in one spot. poppin' a squat on conventional wisdom like it or not. a bunch of revolutionary manumission abolitionists. give me a position show me where the ammunition is. . oh am i talkin' too loud. sometimes i get overexcited shoot off at the mouth. i never had a group of friends before. i promise that i'll make y'all proud. . . let's get this guy in front of a crowd. . . i am not throwing away my shot. i am not throwing away my shot. hey yo i'm just like my country. i'm young scrappy and hungry. and i'm not throwing away my shot. i am not throwing away my shot. i am not throwing away my shot. hey yo i'm just like my country. i'm young scrappy and hungry. and i'm not throwing away my shot. . . ev'rybody sing. woah woah woah woah woah woah. hey. woah woah. woo. woah woah. said let 'em hear ya yeah. let's go. . . woah woah woah. i said shout it to the rooftops. woah. said to the rooftops. woah. come on. yeah. come on let's go. . rise up. when you're living on your knees you rise up. tell your brother that he's gotta rise up. tell your sister that she's gotta rise up. . . when are these colonies gonna rise up. woah woah woah. when are these colonies gonna rise up. woah. when are these colonies gonna rise up. woah. when are these colonies gonna rise up. woah. rise up rise up. . . i imagine death so much it feels more like a memory. when's it gonna get me. in my sleep seven feet ahead of me. if i see it comin' do i run or do i let it be. is it like a beat without a melody. see i never thought i'd live past twenty. where i come from some get half as many. ask anybody why we livin' fast and we laugh reach for a flask. we have to make this moment last that's plenty. scratch that. this is not a moment it's the movement. where all the hungriest brothers with. something to prove went. foes oppose us we take an honest stand. we roll like moses claimin' our promised land. and if we win our independence. is that a guarantee of freedom for our descendants. or will the blood we shed begin an endless. cycle of vengeance and death with no defendants. i know the action in the street is excitin'. but jesus between all the bleedin' 'n' fightin'. i've been readin' 'n' writin'. we need to handle our financial situation. are we a nation of states what's the state of our nation. i'm past patiently waitin'. i'm passionately smashin' every expectation. every action's an act of creation. i'm laughin' in the face of casualties and sorrow. for the first time i'm thinkin' past tomorrow. . . and i am not throwing away my shot. i am not throwing away my shot. hey yo i'm just like my country. i'm young scrappy and hungry. and i'm not throwing away my shot. . . we're gonna rise up time to take a shot. not throwing away my shot. we're gonna rise up time to take a shot. not throwing away my shot. we're gonna. we're gonna. . . it's time to take a shot rise up. . . it's time to take a shot rise up. it's time to take a shot rise up. take a shot ri ri ri. shot. shot. ayo it's. time to take a shot time to take a shot. time to take a shot time to take a shot. and i am and i am. . . not throwin' away my. . . not throwin' away my shot
78,Farmer Refuted,hear ye hear ye my name is samuel seabury. and i present free thoughts on the. proceedings of the continental congress. heed not the rabble who scream revolution. they have not your interests at heart. . . oh my god. tear this dude apart. . . chaos and bloodshed are not a solution. don't let them lead you astray. this congress does not speak for me. . . let him be. . they're playing a dangerous game. i pray the king shows you his mercy. for shame for shame. . . yo. he'd have you all unravel at the sound of screams. but the revolution is comin'. the havenots are gonna win this. it's hard to listen to you with a straight face. heed not the rabble who scream revolution. they have not your interests at heart. chaos and bloodshed already haunt us honestly you shouldn't even talk. and what about boston look at the cost. n' all that we've lost n' you talk about congress. chaos and bloodshed are not a solution. don't let them lead you astray. this congress does not speak for me. my dog speaks more eloquently than thee. they're playing a dangerous game. but strangely your mange is the same. i pray the king shows you his mercy. is he in jersey. for shame. for the revolution. for shame. . . for the revolution. . . heed. . . if you repeat yourself again i'm gonna. . . scream. . . honestly look at me please don't read. . . not your interests. . don't modulate the key then not debate with me. why should a tiny island across the sea regulate the price of tea. . . alexander please. . . burr i'd rather be divisive than indecisive drop the niceties. . . silence a message from the king. a message from the king. . . a message from the king
79,Ironic,an old man turned 98. he won the lottery and died the next day. it's a black fly in your chardonnay. it's a death row pardon two minutes too late. and isn't it ironic. don't you think. . . hold up wait a second. that's actually not ironic. . . right. if we are using irony as defined in greek tragedy i don't see how like a fly in your beverage applies. . . that's not irony. that's just like shitty. . . can i please finish my piece. . . mr. playitsafe was afraid to fly. he packed his suitcase and kissed his kids goodbye. he waited his whole damn life to take that flight. and as the plane crashed down he thought well isn't this nice. and isn't it ironic. . . it's not though. . . it would be irony if the guy in the crash was like an airplane mechanic. . . how 'bout you guys let her finish. . . it's like rain on your wedding day. it's a free ride when you've already paid. it's the good advice that you just didn't take. and who would've thoughtit figures. . well life has a funny way. . . of sneaking up on you when you think everything's okay. and everything's going right. . . and life has a funny way. . . of helping you out when you think everything's gone wrong. and everything blows up in your face. . . it's a traffic jam when you're already late. . . it's a nosmoking sign on your cigarette break. . . it's like ten thousand spoons when all you need is a knife. . . it's like meeting the boy of my dreams. and then meeting his.... . . i'm not seeing anyone.... . . and isn't it ironic. don't you think. . . a little too ironic. . . yeah i really do think. . . it's like rain on your wedding day. it's a free ride when you've already paid. it's the good advice that you just didn't take. and who would've thoughtit figures. . . well life has a funny way. . . of sneaking up on you. . . yeah life has a funny funny way of helping you out. . . helping you out
80,Waving Through A Window,i've learned to slam on the brake. before i even turn the key. before i make the mistake. before i lead with the worst of me. give them no reason to stare. no slippin' up if you slip away. so i got nothing to share. no i got nothing to say. step out step out of the sun. if you keep getting burned. step out step out of the sun. because you've learned because you've learned. on the outside always looking in. will i ever be more than i've always been. 'cause i'm tap tap tapping on the glass. i'm waving through a window. i try to speak but nobody can hear. so i wait around for an answer to appear. while i'm watch watch watching people pass. i'm waving through a window oh. can anybody see is anybody waving back at me. . we start with stars in our eyes. we start believing that we belong. but every sun doesn't rise. and no one tells you where you went wrong. step out step out of the sun. if you keep getting burned. step out step out of the sun. because you've learned because you've learned. on the outside always looking in. will i ever be more than i've always been. 'cause i'm tap tap tapping on the glass. waving through a window. i try to speak but nobody can hear. so i wait around for an answer to appear. while i'm watch watch watching people pass. waving through a window oh. can anybody see is anybody waving. when you're falling in a forest and there's nobody around. do you ever really crash or even make a sound. when you're falling in a forest and there's nobody around. do you ever really crash or even make a sound. when you're falling in a forest and there's nobody around. do you ever really crash or even make a sound. when you're falling in a forest and there's nobody around. do you ever really crash or even make a sound. did i even make a sound. did i even make a sound. it's like i never made a sound. will i ever make a sound. . on the outside always looking in. will i ever be more than i've always been. 'cause i'm tap tap tapping on the glass. waving through a window oh. i try to speak but nobody can hear. so i wait around for an answer to appear. while i'm watch watch watching people pass. waving through a window oh. can anybody see is anybody waving back at me ooh. is anybody waving. waving waving woahoh woahohohoh
81,For Forever,end of may or early june. this pictureperfect afternoon we shared. drive the winding country road. grab a scoop at à la mode. and then we're there. . an open field that's framed with trees. we pick a spot and shoot the breeze. like buddies do. quoting songs by our favorite bands. telling jokes no one understands. except us two. and we talk and take in the view. . all we see is sky for forever. we let the world pass by for forever. feels like we could go on for forever this way. two friends on a perfect day. . we walk a while and talk about. the things we'll do when we get out of school. bike the appalachian trail or. write a book or learn to sail. wouldn't that be cool. . there's nothing that we can't discuss. like girls we wish would notice us but never do. he looks around and says to me. there's nowhere else i'd rather be. and i say me too. and we talk and take in the view. we just talk and take in the view. all we see is sky for forever. we let the world pass by for forever. feels like we could go on for forever this way this way. all we see is light for forever. 'cause the sun shines bright for forever. like we'll be alright for forever this way. two friends on a perfect day. . and there he goes. racing toward the tallest tree. from far across the yellow field i hear him calling follow me there we go. wondering how the world might look from up so high. one foot after the other. one branch then to another. i climb higher and higher. i climb 'til the entire. sun shines on my face. . and i suddenly feel the branch give way. i'm on the ground. my arm goes numb. i look around. and i see him come to get me. he's come to get me. and everything's okay. all we see is sky for forever. we let the world pass by for forever. buddy you and i for forever this way this way. all we see is light. 'cause the sun burns bright. we could be alright for forever this way. two friends. true friends. on a perfect day
82,"Sincerely, Me",dear evan hansen. we've been way too out of touch. things have been crazy. and it sucks that we don't talk that much. but i should tell you that i think of you each night. i rub my nipples and start moaning with delight. . . why would you write that. . . i'm just trying to tell the truth.. . this needs to be perfect. these emails have to prove that we were actually friends. justi'll do it.. . . i've gotta tell you life without you has been hard. . hard. . . has been bad. . . bad. . . has been rough. . . kinky. . and i miss talking about life and other stuff. . . very specific.. . . shut up. . . i like my parents. . . who says that. . . i love my parents. but each day's another fight. if i stop smoking drugs. then everything might be alright. . smoking drugs. . just fix it. . . if i stop smoking crack. . . crack. . . if i stop smoking pot. then everything might be alright. i'll take your advice. i'll try to be more nice. i'll turn it around. wait and see. 'cause all that it takes is a little reinvention. its easy to change if you give it your attention. all you gotta do is just believe you can be who you want to be. sincerely me. . . are we done yet. . . well i can't just give them one email. i want to show that i was like a good friend you know. . . oh my god.. . . dear connor murphy. yes i also miss our talks. stop doing drugs. just try to take deep breaths and go on walks. . . no.. . . i'm sending pictures of the most amazing trees. . . no. . . you'll be obsessed with all my forest expertise. . . absolutely not.. . . dude i'm proud of you. just keep pushing through. you're turning around. i can see. . . just wait and see. . . 'cause all that it takes is a little reinvention. its easy to change if you give it your attention. all you gotta do is just believe you can be who you want to be. sincerely me. . my sister's hot. . . what the hell. . . my bad.. . dear evan hansen. thanks for every note you send. . . dear connor murphy. i'm just glad to be your friend. . . our friendship goes beyond. your average kind of bond. . but not because we're gay. . . no not because we're gay. . . we're close but not that way. the only man that i love is my dad. . . well anyway. . . you're getting better every day. . . i'm getting better every day. . keep getting better every day. . hey hey hey hey. . 'cause all that it takes is a little reinvention. its easy to change if you give it your attention. all you gotta do is just believe you can be who you want to be. sincerely. . . miss you dearly. . . sincerely me. . . sincerely me. . . sincerely me. sincerely me
83,Requiem,why should i play this game of pretend. remembering through a secondhand sorrow. such a great son and wonderful friend. oh don't the tears just pour. i could curl up and hide in my room. there in my bed still sobbing tomorrow. i could give in to all of the gloom. but tell me tell me what for. why should i have a heavy heart. why should i start to break in pieces. why should i go and fall apart for you. why should i play the grieving girl and lie. saying that i miss you. and that my world has gone dark without your light. i will sing no requiem tonight. . . i'm going to bed.. . . come sit with me.. . . cynthia.. . . you can't stand to be in this room for five minutes. . . i'm exhausted.. . . you know larry at some point you're going to have to start dealing. . . not tonight. please.. . . just read this.. . . i'll keep the light on for you. . i gave you the world you threw it away. leaving these broken pieces behind you. everything wasted nothing to say. so i can sing no requiem. . . i hear your voice i feel you near. within these words i finally find you. and now that i know that you are still here. i will sing no requiem tonight. . . why should i have a heavy heart. . . why should i say i'll keep you with me. why should i go and fall apart for you. . why should i play the grieving girl and lie. saying that i miss you. and that my world has gone dark without your light. i can see your light. i will sing no requiem. tonight. 'cause when the villains fall the kingdoms never weep. no one lights a candle to remember. no no one mourns at all. when they lay them down to sleep. . so don't tell me that i didn't have it right. don't tell me that it wasn't black and white. after all you put me through. don't say it wasn't true. that you were not the monster. that i knew. . 'cause i cannot play the grieving girl and lie. saying that i miss you. and that my world has gone dark. . . i will sing no requiem. . . i will sing no requiem. . . i will sing no requiem tonight. . . ohoh ohoh. . . ohoh. . . ohohhh
84,Disappear,guys like you and me. we're just the losers. who keep waiting to be seen right. i mean no one seems to care. or stops to notice that we're there. so we get lost in the inbetween. . but. if you can somehow keep them thinking of me. and make me more than an abandoned memory. well that means we matter too. it means someone will see that you are there. no one deserves to be forgotten. no one deserves to fade away. no one should come and go. and have no one know he was ever even here. no one deserves to disappear. to disappear. disappear. . . it's true.. . . even if you've always been that. barelyinthebackground kind of guy. . . you still matter. . . and even if you're somebody who can't escape the feeling. that the world's passed you by. . . you still matter. . . if you never get around to doing some remarkable thing. that doesn't mean that you're not worth remembering. . . think of the people who need to know. . . they need to know. . . so you need to show them. i need to show them. . . that no one deserves to be forgotten. . . no one deserves to be forgotten. . . no one deserves to fade away. . . to fade away. . . no one should flicker out or have any doubt. that it matters that they are here. . . no one deserves. . . no one deserves. . . to disappear. to disappear. disappear. . . when you're falling in a forest. and there's nobody around. and all you want is for somebody to find you. when you're falling in a forest. and when you hit the ground. all you need is for somebody to find you. . . i'm calling it the connor project.. . . the connor project. . . a student group dedicated to keeping connor's memory alive to showing that everybody should matter.. . . we have to do this. not just for connor for everyone.. . . 'cause no one deserves to be forgotten. . . no one deserves to fade away. no one deserves to fade away. . . we're calling it the connor project.. . . the connor project. . . imagine a major online presence. . . a massive fundraising drive. . . and for the kickoff event an allschool memorial assembly.. . . i didn't realize connor meant this much to people.. . . oh evan this is wonderful. . . no one deserves to be. forgotten. . . no one deserves to fade away. . . no one deserves to disappear. . . no one deserves to disappear. . . no one should flicker out or have any doubt. that it matters that they are here. . . no one deserves. . . no one deserves. . . no one deserves to disappear. . . to disappear. . . disappear. . . no one deserves to be forgotten. . . to disappear. . . disappear. . . to disappear disappear. to disappear disappear disappear. to disappear disappear disappear disappear. to disappear disappear disappear
85,Only Us,i don't need you to sell me on reasons to want you. i don't need you to search for the proof that i should. you don't have to convince me. you don't have to be scared you're not enough. 'cause what we've got going is good. . i don't need more reminders of all that's been broken. i don't need you to fix what i'd rather forget. clear the slate and start over. try to quiet the noises in your head. we can't compete with all that. . so what if it's us. what if it's us. and only us. and what came before won't count anymore or matter. can we try that. what if it's you. and what if it's me. and what if that's all that we need it to be. and the rest of the world falls away. what do you say. . . i never thought there'd be someone like you who would want me. . . well.... . . so i give you ten thousand reasons to not let me go. but if you really see me. if you like me for me and nothing else. well that's all that i've wanted for longer than you could possibly know. . so it can be us. it can be us. and only us. and what came before won't count anymore or matter. we can try that. . . it's not so impossible. . . nobody else but the two of us here. . . 'cause you're saying it's possible. . . we can just watch the whole world disappear. . 'til you're the only one. i still know how to see. . . it's just you and me. . . it'll be us. it'll be us. and only us. and what came before won't count anymore. . . we can try that. you and me. that's all that we need it to be. and the rest of the world falls away. and the rest of the world falls away. . the world falls away. the world falls away. and it's only us
86,You Will Be Found,have you ever felt like nobody was there. have you ever felt forgotten in the middle of nowhere. have you ever felt like you could disappear. like you could fall and no one would hear. spoken. but see see the thing is when i looked up connor was there. that was the gift he gave me to show me that i wasn't alone. to show me that i mattered. everybody does. that's the gift that he gave all of us. i just wish i wish i could have given that to him.... . sung. well let that lonely feeling wash away. maybe theres a reason to believe youll be okay. cause when you dont feel strong enough to stand. you can reach reach out your hand. . and oh someone will come runnin'. and i know theyll take you home. . even when the dark comes crashin' through. when you need a friend to carry you. and when youre broken on the ground. you will be found. so let the sun come streamin' in. 'cause youll reach up and youll rise again. lift your head and look around. you will be found. you will be found. you will be found. you will be found. you will be found. . . have you seen this someone put a video of your speech online.. . . my speech. . . people started sharing it i guess and now i meanconnor is everywhere.. . . your speech is everywhere. this morning the connor project page it only had 56 people following it.. . . well how many does it have now. . . four thousand five hundred eightytwo. . . sixteen thousand two hundred and thirtynine. . . i don't understand what happened. . . you did. . . theres a place where we dont have to feel unknown. . . oh my god. . everybody needs to see this. . . and ev'ry time that you call out youre a little less alone. . . i can't stop watching this video. . seventeen years old. . . if you only say the word. . . take five minutes this will make your day. . . from across the silence your voice is heard. . . oh. share it with the people you love. repost. the world needs to hear this. a beautiful tribute favorite. oh. i know someone who really needed to hear this today. so thank you evan hansen for doing what you're doing. oh oh. i never met you connor but coming on here reading everyone's posts.... someone will come runnin'. it's so easy to feel alone. oh oh. but evan is exactly rightwe're not alone none of us. we're not alone none of us. none of us. none of us are alone. like. forward. especially now. oh oh. with everything that you hear in the news. someone will come runnin'. like. share. repost. forward. thank you evan hansen. for giving us a space to remember connor. oh oh. someone will come runnin'. to be together. to find each other. sending prayers from michigan. to take you home to take you home. vermont. tampa. sacramento. thank you evan hansen. to take you home to take you home. . overlapping. repost. thank you evan. thank you evan hansen. this video is.... thanks to evan. this is about... thank you. evan hansen. . even when the dark comes crashin' through. when you need a friend to carry you. when youre broken on the ground. you will be found. so let the sun come streamin' in. 'cause youll reach up and youll rise again. if you only look around. you will be found. . . you will be found. . . you will be found. . . you will be found. . . you will be found. . . out of the shadows. the morning is breaking. and all is new. all is new. . . it's fillin' up the empty. and suddenly i see. . that all is new. all is new. . . you are not alone. . . you are not alone. . . you are not alone. . . you are not alone. . . you are not alone. . . you are not alone. . . you are not alone. . . you are not alone. . . you are not. . . you are not alone. . . you are not alone. . . even when the dark comes crashin' through. when you need someone to carry you. when youre broken on the ground. . . you will be found. . . so let the sun come streamin' in. . . 'cause youll reach up and youll rise again. . . if you only look around. . . you will be found. . . even when the dark comes crashin' through. . . you will be found. . . when you need someone to carry you. . . you will be found. you will be found. . . you will be found
87,The Family Madrigal,drawers. floors. doors. let's go. . this is our home we've got every generation. so full of music a rhythm of its own design. this is my family a perfect constellation. so many stars and everybody gets to shine. . . woah. . . let's be clear abuela runs this show oh. . . woah. . . she led us here so many years ago oh. . . woah. . . and every year our family blessings grow oh. . . there's just a lot you simply got to know so. welcome to the family madrigal. the home of the family madrigal we're on our way. where all thе people are fantastical and magical. i'm part of thе family madrigal. . . . . oh my gosh it's them. . . what are the gifts. . . i can't remember all the gifts. . . but i don't know who is who. . . alright alright relax. . . it is physically impossible to relax. . . tell us everything what are your powers. . . just tell us what everyone can do. . . and that's why coffee's for grownups. . my tía pepa. her mood affects the weather. when she's unhappy. well the temperature gets weird. . . my tío bruno. . . we don't talk about bruno. . . they say he saw the future. one day he disappeared. . . oh. . . and that's my mom julieta here's her deal oh. . . woah. . . the truth is she can heal you with a meal oh. . . woah. . . her recipes are remedies for real oh. . . if you're impressed imagine how i feel. . . mom. . . welcome to the family madrigal. the home of the family madrigal hey coming through. i know it sounds a bit fantastical and magical. but i'm part of the family madrigal. . . two guys fell in love with family madrigal. and now they're part of the family madrigal. so yeah tío félix married pepa and my dad married julieta. that's how abuela became an abuela madrigal let's go let's go. . . we swear to always help those around us. and earn the miracle that somehow found us. the town keeps growing the world keeps turning. but work and dedication will keep the miracle burning. and each new generation must keep the miracle burning. . . wait who's a sister and who's a cousin. . . there's so many people. . . how do you keep 'em all straight. . . okay okay okay okay. . . so many kids in our house so let's turn the sound up. you know why i think it's time for a grandkid roundup. . . grandkid roundup. . . cousin dolores. can hear a pin drop. camilo shapeshifts. antonio gets his gift today. . . my older sisters. . . isabela and luisa. . . one strong one graceful. perfect in every way. . . isabela grows a flower the town goes wild. isabela she's the perfect golden child. luisa luisa luisa luisa and luisa's super strong. the beauty and the brawn do no wrong. . . that's life in the family madrigal oh. now you know the family madrigal oh. where all the people are fantastical and magical oh. that's who we are in the family madrigal. . . adiós. ooh. . . but what's your gift. . . ha. . . well i gotta go the life of a madrigal oh. but now you all know the family madrigal oh. i never meant this to get autobiographical oh. so just to review the family madrigal let's go. . . but what about mirabel. . . it starts with abuela and then tía pepa she handles the weather. . . but what about mirabel. . . my mom julieta can make you feel better with just one arepa. . . but what about mirabel. . . my dad agustín well he's accidentprone but he means well. . . but what about mirabel. . . hey you said you wanna know what everyone does i got sisters and cousins and. . . mirabel. . . my primo camilo won't stop until he makes you smile today. . . mirabel. . . my cousin dolores can hear this whole  a mile away. . . mirabel. . . look it's mister mariano. hey you can marry my sister if you wanna. between you and me she's kind of a prima donna. yo i've said too much and thank you but i really gotta go. . . mirabel. . . my family's amazing. . . mirabel. . . and i'm in my family so. . . mirabel. . . well. . . mirabel
88,Waiting On A Miracle,don't be upset or mad at all. don't feel regret or sad at all. hey i'm still a part of the family madrigal. and i'm fine i am totally fine. i will stand on the side as you shine. i'm not fine i'm not fine. i can't move the mountains. i can't make the flowers bloom. i can't take another night up in my room. waiting on a miracle. i can't heal what's broken. can't control the morning rain or a hurricane. can't keep down the unspoken invisible pain. always waiting on a miracle a miracle. always walking alone. always wanting for more. like i'm still at that door. longing to shine like all of you shine. all i need is a change. all i need is a chance. all i know is i can't stay on the side. open your eyеs open your eyes opеn your eyes. . i would move the mountains. make new trees and flowers grow. someone please just let me know where do i go. i am waiting on a miracle a miracle. i would heal what's broken. show this family something new. who i am inside so what can i do. i'm sick of waiting on a miracle so here i go. . i am ready come on i'm ready. i've been patient and steadfast and steady. bless me now as you blessed us all those years ago. when you gave us a miracle. am i too late for a miracle
